codegeo,libgeo,dcomiris,lib_iris,type_iris,au,lib_au,uu,dep,agri,articom,cadres,profint,employes,ouvriers,actifs,proprietai,locpriv,hlm,gratuit,logements,no_diploma,brevet,cap_bep,bac,bac_2,bac_3_4,bac_5,pop_noscol,p_agri,p_articom,p_cadres,p_profint,p_employes,p_ouvriers,p_propriet,p_locpriv,p_hlm,p_gratuit,p_nodiplom,p_brevet,p_cap_bep,p_bac,p_bac_2,p_bac_3_4,p_bac_5
"69383",Lyon 3e Arrondissement,"693830404",Baraban-Ferrandière,H,"002",Lyon,UU00758,"69","0","56","498","572","435","191","1752","514","942","221","26","1703","365","110","318","350","328","391","541","2402",0.000000000000000,3.196347000000000,28.424659999999999,32.648400000000002,24.828769999999999,10.901830000000000,30.182030000000001,55.314149999999998,12.977100000000000,1.526718000000000,15.195670000000000,4.579517000000000,13.238970000000000,14.571190000000000,13.655290000000001,16.278099999999998,22.522900000000000
"69385",Lyon 5e Arrondissement,"693850404",Albéric Pont,H,"002",Lyon,UU00758,"69","0","59","231","405","325","164","1184","668","318","21","36","1044","207","94","218","346","238","338","292","1734",0.000000000000000,4.983108000000000,19.510140000000000,34.206080000000000,27.449320000000000,13.851350000000000,63.984670000000001,30.459769999999999,2.011494000000000,3.448276000000000,11.937720000000001,5.420992000000000,12.572089999999999,19.953859999999999,13.725490000000001,19.492500000000000,16.839680000000001
"69386",Lyon 6e Arrondissement,"693860501",Mairie,H,"002",Lyon,UU00758,"69","0","66","462","339","233","91","1191","416","646","230","32","1325","223","62","125","237","158","265","557","1626",0.000000000000000,5.541562000000000,38.790930000000003,28.463480000000001,19.563389999999998,7.640638000000000,31.396229999999999,48.754719999999999,17.358490000000000,2.415094000000000,13.714639999999999,3.813038000000000,7.687577000000000,14.575650000000000,9.717097000000001,16.297660000000000,34.255839999999999
"69388",Lyon 8e Arrondissement,"693880102",Colbert,H,"002",Lyon,UU00758,"69","0","71","703","734","573","132","2213","784","1346","314","52","2495","258","103","351","397","540","467","738","2854",0.000000000000000,3.208314000000000,31.766829999999999,33.167639999999999,25.892450000000000,5.964754000000000,31.422850000000000,53.947899999999997,12.585170000000000,2.084168000000000,9.039944000000000,3.608970000000000,12.298530000000000,13.910299999999999,18.920809999999999,16.363000000000000,25.858440000000002
"69387",Lyon 7e Arrondissement,"693870502",Stalingrad,H,"002",Lyon,UU00758,"69","0","87","887","757","587","246","2564","886","1295","349","59","2588","432","95","344","484","308","467","1011","3142",0.000000000000000,3.393136000000000,34.594380000000001,29.524180000000001,22.893920000000001,9.594384000000000,34.234929999999999,50.038640000000001,13.485320000000000,2.279753000000000,13.749200000000000,3.023552000000000,10.948440000000000,15.404199999999999,9.802673000000000,14.863140000000000,32.176960000000001
"69383",Lyon 3e Arrondissement,"693830402",Richerand-Petites Soeurs,H,"002",Lyon,UU00758,"69","1","71","547","393","422","160","1594","484","569","539","25","1616","507","130","369","320","281","288","548","2443",0.062735300000000,4.454203000000000,34.316180000000003,24.654959999999999,26.474280000000000,10.037640000000000,29.950489999999999,35.210400000000000,33.353960000000001,1.547030000000000,20.753170000000001,5.321326000000000,15.104380000000001,13.098649999999999,11.502250000000000,11.788779999999999,22.431439999999998
"69382",Lyon 2e Arrondissement,"693820103",Jacobins,A,"002",Lyon,UU00758,"69","0","0","0","4","0","0","4","8","8","0","0","15","0","0","0","4","0","0","8","11",0.000000000000000,0.000000000000000,0.000000000000000,100.000000000000000,0.000000000000000,0.000000000000000,53.333329999999997,53.333329999999997,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,36.363639999999997,0.000000000000000,0.000000000000000,72.727270000000004
"69386",Lyon 6e Arrondissement,"693860602",Bossuet Ney,H,"002",Lyon,UU00758,"69","0","55","637","459","243","73","1467","402","1026","44","12","1484","70","58","171","196","166","278","711","1650",0.000000000000000,3.749148000000000,43.421950000000002,31.288340000000002,16.564419999999998,4.976142000000000,27.088950000000001,69.137469999999993,2.964960000000000,0.808625300000000,4.242424000000000,3.515152000000000,10.363640000000000,11.878790000000000,10.060610000000000,16.848479999999999,43.090910000000001
"69388",Lyon 8e Arrondissement,"693880301",Laennec,H,"002",Lyon,UU00758,"69","0","29","334","442","373","113","1291","616","930","17","93","1655","160","51","232","256","197","256","340","1491",0.000000000000000,2.246321000000000,25.871420000000001,34.237029999999997,28.892330000000001,8.752905000000000,37.220540000000000,56.193350000000002,1.027190000000000,5.619335000000000,10.731050000000000,3.420523000000000,15.560029999999999,17.169689999999999,13.212610000000000,17.169689999999999,22.803490000000000
"69389",Lyon 9e Arrondissement,"693890103",Louis Bouquet-Jean Perrin,H,"002",Lyon,UU00758,"69","0","69","405","353","241","137","1205","625","298","128","30","1082","243","67","323","308","253","288","411","1894",0.000000000000000,5.726141000000000,33.609960000000001,29.294609999999999,20.000000000000000,11.369289999999999,57.763399999999997,27.541589999999999,11.829940000000001,2.772643000000000,12.829990000000000,3.537487000000000,17.053850000000001,16.261880000000001,13.357970000000000,15.205909999999999,21.700109999999999
"69389",Lyon 9e Arrondissement,"693890604",La Sauvegarde,H,"002",Lyon,UU00758,"69","0","48","51","158","339","270","866","86","61","797","4","948","752","89","287","204","76","99","53","1560",0.000000000000000,5.542725000000000,5.889145000000000,18.244800000000001,39.145499999999998,31.177830000000000,9.071730000000001,6.434599000000000,84.071730000000002,0.421940900000000,48.205129999999997,5.705128000000000,18.397440000000000,13.076919999999999,4.871795000000000,6.346154000000000,3.397436000000000
"69388",Lyon 8e Arrondissement,"693880503",General Andre,H,"002",Lyon,UU00758,"69","0","63","311","466","279","177","1296","885","442","7","20","1355","299","107","433","364","231","311","344","2091",0.000000000000000,4.861111000000000,23.996910000000000,35.956789999999998,21.527780000000000,13.657410000000000,65.313649999999996,32.619929999999997,0.516605100000000,1.476015000000000,14.299379999999999,5.117169000000000,20.707799999999999,17.407940000000000,11.047350000000000,14.873270000000000,16.451460000000001
"69383",Lyon 3e Arrondissement,"693830401",Villette Gare,H,"002",Lyon,UU00758,"69","0","74","451","451","436","187","1599","452","743","207","30","1432","429","88","344","285","254","317","497","2214",0.000000000000000,4.627892000000000,28.205130000000000,28.205130000000000,27.267040000000001,11.694810000000000,31.564250000000001,51.885480000000001,14.455310000000001,2.094972000000000,19.376690000000000,3.974706000000000,15.537490000000000,12.872629999999999,11.472450000000000,14.317980000000000,22.448060000000002
"69388",Lyon 8e Arrondissement,"693880303",Bataille,H,"002",Lyon,UU00758,"69","0","38","622","556","620","315","2151","686","1019","532","39","2275","546","176","599","507","325","421","540","3115",0.000000000000000,1.766620000000000,28.916779999999999,25.848440000000000,28.823799999999999,14.644349999999999,30.153849999999998,44.791210000000000,23.384609999999999,1.714286000000000,17.528089999999999,5.650080000000000,19.229530000000000,16.276080000000000,10.433389999999999,13.515250000000000,17.335470000000001
"69384",Lyon 4e Arrondissement,"693840103",Commandant Arnaud-Dumont d'Urville,H,"002",Lyon,UU00758,"69","0","85","707","661","331","123","1907","690","687","207","33","1617","197","89","208","324","323","439","710","2290",0.000000000000000,4.457263000000000,37.073940000000000,34.661769999999997,17.357109999999999,6.449921000000000,42.671619999999997,42.486080000000001,12.801480000000000,2.040816000000000,8.602620000000000,3.886463000000000,9.082970000000000,14.148470000000000,14.104799999999999,19.170310000000001,31.004370000000002
"69389",Lyon 9e Arrondissement,"693890607",Le Plateau,H,"002",Lyon,UU00758,"69","0","26","107","145","255","124","657","370","367","61","5","803","200","48","134","141","119","104","123","868",0.000000000000000,3.957382000000000,16.286149999999999,22.070010000000000,38.812790000000000,18.873670000000001,46.077210000000001,45.703609999999998,7.596513000000000,0.622665000000000,23.041480000000000,5.529954000000000,15.437790000000000,16.244240000000001,13.709680000000001,11.981570000000000,14.170510000000000
"69382",Lyon 2e Arrondissement,"693820203",Grande Poste,A,"002",Lyon,UU00758,"69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,
"69386",Lyon 6e Arrondissement,"693860301",Maréchal Lyautey,H,"002",Lyon,UU00758,"69","0","134","638","337","201","67","1377","620","585","113","41","1359","100","37","149","249","264","367","800","1967",0.000000000000000,9.731299999999999,46.332610000000003,24.473490000000002,14.596950000000000,4.865650000000000,45.621780000000001,43.046360000000000,8.314938000000000,3.016924000000000,5.083884000000000,1.881037000000000,7.574987000000000,12.658870000000000,13.421450000000000,18.657850000000000,40.671070000000000
"69384",Lyon 4e Arrondissement,"693840303",Mairie-Tabareau,H,"002",Lyon,UU00758,"69","0","77","447","427","273","152","1376","507","592","258","24","1381","249","78","253","244","255","315","495","1890",0.000000000000000,5.595930000000000,32.485469999999999,31.031980000000001,19.840119999999999,11.046510000000000,36.712530000000001,42.867489999999997,18.682110000000002,1.737871000000000,13.174600000000000,4.126984000000000,13.386240000000001,12.910050000000000,13.492060000000000,16.666670000000000,26.190480000000001
